parameter,value,CV,se_lin,rse_lin,P2.5_lin,P97.5_lin,se_sa,rse_sa,P2.5_sa,P97.5_sa
k1_pop,0.127629740397858,,0.00788174649571633,6.17547796551705,0.113119,0.144002,0.00661010548215049,5.17912632396253,0.115333,0.141237
k2_pop,0.00174819026822308,,0.000614070103633834,35.1260451906071,0.000925476,0.00330227,0.00250780955033843,143.451750986319,0.000338112,0.00903893
k3_pop,0.0782009038464265,,0.00614584355195838,7.85904414100865,0.0670845,0.0911594,0.00899165195753102,11.4981432633939,0.0625586,0.0977545
k4_pop,0.0058725928968826,,0.000917228260123741,15.6187952447826,0.00434722,0.0079332,0.000957199866087546,16.29944188019,0.00429265,0.00803404
A0_pop,0.669520516340872,,0.0565637818661474,8.44840157778662,0.567846,0.789399,0.0553167050767075,8.26213741425425,0.569891,0.786567
tau_pop,30.7127448834115,,1.65665630700807,5.39403532083146,27.6378,34.1297,1.29929404342171,4.23047190459189,28.272,33.3642
omega_k1,0.143798552052365,14.4545131838722,0.0412676784619273,28.6982573001844,0.0844579,0.244832,0.0330821311833479,23.0058861589237,0.0931164,0.222066
omega_k2,0.921964551147991,115.744997659242,0.301352273787715,32.6858850931399,0.5073,1.67558,0.636586743641956,69.0467700574068,0.314036,2.70676
omega_k3,0.17908250734527,18.0527965258917,0.0781604432214505,43.6449346059009,0.0834896,0.384126,0.102032887885518,56.9753514165398,0.0700211,0.458013
omega_k4,0.558064357910797,60.4470151118531,0.128126949711448,22.9591709083718,0.36167,0.861104,0.322474013154756,57.7843771213035,0.216066,1.44139
omega_A0,0.523815321791285,56.1887850674097,0.0645996581684985,12.3325255068118,0.412447,0.665255,0.0707086645749956,13.4987774571378,0.403456,0.680081
omega_tau,0.0876960315692518,8.78649106696347,0.0419442979065642,47.8291858320198,0.0385759,0.199363,0.0344289686915914,39.2594374859523,0.0435839,0.176455
b,0.503408305325448,,0.0311935339219302,6.19646787546818,0.445992,0.568217,0.0317780814709624,6.31258585422388,0.444987,0.5695
