parameter,value,CV,se_sa,rse_sa,P2.5_sa,P97.5_sa
k1_pop,0.163793918469211,,0.0240334876955728,14.6730036866969,0.123407,0.217397
k2_pop,0.00309252292411035,,0.000232477403502618,7.51740275521149,0.0026705,0.00358123
k3_pop,0.0749294906367775,,0.00665260247156163,8.87848351166603,0.063026,0.0890812
k4_pop,0.00675790305046078,,0.00120680758097504,17.8577226095713,0.00480002,0.00951438
A0_pop,1.57532667884195,,0.932824707319674,59.2146835223668,0.599531,4.13933
tau_pop,28.7110025942192,,1.63007294258962,5.67752009787991,25.6943,32.0818
omega_k1,0.0957769680760721,9.59970343993615,0.0579205568452364,60.4744105067434,0.0359112,0.255442
omega_k2,0.0477849187755424,4.78122097588669,0.0211009941739191,44.1582715103811,0.0221161,0.103246
omega_k3,0.245134021118576,24.8863109105408,0.0537491889315878,21.9264501460563,0.161793,0.371406
omega_k4,0.302824699521763,30.9901644688347,0.251241233788074,82.9658988136857,0.0898406,1.02073
omega_A0,0.448623872428501,47.2172455587935,0.160234181816117,35.7168201836282,0.235322,0.855268
omega_tau,0.0304568811534633,3.04639456339116,0.0238833772165751,78.4170155054083,0.00943215,0.0983468
b,0.417560475447113,,0.0366967566161289,8.78836929592892,0.351836,0.495563
