rep,id,alpha,gamma,beta,B0,inf
1,MV-C1-002,0.001232,0.00663138,0.000956434,0.0061551,1
2,MV-C1-002,0.00106984,0.00571813,0.00103007,0.00358069,1
3,MV-C1-002,0.00117708,0.00571813,0.00103007,0.00353423,1
4,MV-C1-002,0.00106338,0.00645244,0.00110453,0.00395376,1
5,MV-C1-002,0.00145734,0.00647982,0.00110453,0.00395376,1
6,MV-C1-002,0.00120639,0.00647982,0.00110453,0.00441638,1
7,MV-C1-002,0.0010241,0.00579535,0.000729407,0.00918498,1
8,MV-C1-002,0.000785843,0.005045,0.00111163,0.0140514,1
9,MV-C1-002,0.00101488,0.00603527,0.00170759,0.0336843,1
10,MV-C1-002,0.00101488,0.00532815,0.00111728,0.0104111,1
11,MV-C1-002,0.000977013,0.00594323,0.00159275,0.00568664,1
12,MV-C1-002,0.000979524,0.0055383,0.000700891,0.00483563,1
13,MV-C1-002,0.00100314,0.00437893,0.000700891,0.00473519,1
14,MV-C1-002,0.00120381,0.00553473,0.000949208,0.006506,1
15,MV-C1-002,0.00120381,0.00561063,0.000798995,0.006506,1
16,MV-C1-002,0.000967439,0.0047694,0.000660689,0.00828188,1
17,MV-C1-002,0.000873115,0.00432253,0.00129001,0.0088033,1
18,MV-C1-002,0.000983681,0.00252287,0.00123957,0.00679121,1
19,MV-C1-002,0.000854596,0.00320845,0.000827694,0.00932789,1
20,MV-C1-002,0.000914164,0.00405422,0.00137446,0.0110218,1
21,MV-C1-002,0.00133803,0.00384049,0.00121646,0.0045443,1
22,MV-C1-002,0.000931235,0.00562008,0.000970205,0.0737602,1
23,MV-C1-002,0.000976741,0.00385192,0.000665656,0.00626074,1
24,MV-C1-002,0.000976741,0.00455444,0.0012524,0.00267284,1
25,MV-C1-002,0.00096973,0.00400428,0.00148139,0.00299826,1
26,MV-C1-002,0.000869033,0.00553602,0.00136325,0.00760904,1
27,MV-C1-002,0.00135687,0.00553602,0.00126275,0.00455144,1
28,MV-C1-002,0.00135687,0.00553602,0.00126275,0.00278935,1
29,MV-C1-002,0.00120986,0.00514876,0.00168415,0.00266282,1
30,MV-C1-002,0.00111156,0.00449256,0.00140029,0.00402901,1
31,MV-C1-002,0.00118393,0.00519056,0.00142114,0.00743106,1
32,MV-C1-002,0.0013374,0.00610483,0.00152507,0.00313815,1
33,MV-C1-002,0.00140903,0.00482547,0.00121904,0.00319424,1
34,MV-C1-002,0.0011026,0.00630563,0.00099897,0.002468,1
35,MV-C1-002,0.0011026,0.00540221,0.00127574,0.00441415,1
36,MV-C1-002,0.00137246,0.00543983,0.000650749,0.00470572,1
37,MV-C1-002,0.0013071,0.00691676,0.00104324,0.00743782,1
38,MV-C1-002,0.00111119,0.00478329,0.000859405,0.00422001,1
39,MV-C1-002,0.00131884,0.00722907,0.00112474,0.00733313,1
40,MV-C1-002,0.0012345,0.00714234,0.00112474,0.00441024,1
41,MV-C1-002,0.00160773,0.00670439,0.00126447,0.00270443,1
42,MV-C1-002,0.00158574,0.00617621,0.00124762,0.00298001,1
43,MV-C1-002,0.00170148,0.00617621,0.000996369,0.00331713,1
44,MV-C1-002,0.000899538,0.00617621,0.00070207,0.00644129,1
45,MV-C1-002,0.000899538,0.00624788,0.000980203,0.00262916,1
46,MV-C1-002,0.00116547,0.00538108,0.000552308,0.00451981,1
47,MV-C1-002,0.00116547,0.00525452,0.000965987,0.0033272,1
48,MV-C1-002,0.00116547,0.00525452,0.000965987,0.0033272,1
49,MV-C1-002,0.00148919,0.00731578,0.00116102,0.0122076,1
50,MV-C1-002,0.00128259,0.00587642,0.00117634,0.0024491,1
51,MV-C1-002,0.00128259,0.00587642,0.000743584,0.00248243,1
52,MV-C1-002,0.00128259,0.00518342,0.00189941,0.00383558,1
53,MV-C1-002,0.00121569,0.00665482,0.000623015,0.00265859,1
54,MV-C1-002,0.00116196,0.0070877,0.000673171,0.00425165,1
55,MV-C1-002,0.00116754,0.0070877,0.00102625,0.00347462,1
56,MV-C1-002,0.00116754,0.00494782,0.00127908,0.00779954,1
57,MV-C1-002,0.00101139,0.00389913,0.00100698,0.00551199,1
58,MV-C1-002,0.00149811,0.00561966,0.000945554,0.00385861,1
59,MV-C1-002,0.000953975,0.00450374,0.00105122,0.00584466,1
60,MV-C1-002,0.000953975,0.00450374,0.00105122,0.00314505,1
61,MV-C1-002,0.00101741,0.00508663,0.000933267,0.00606882,1
62,MV-C1-002,0.000779523,0.0056321,0.000591355,0.0110684,1
63,MV-C1-002,0.0013317,0.00491459,0.00212894,0.00835553,1
64,MV-C1-002,0.000954856,0.00658521,0.000864466,0.00489576,1
65,MV-C1-002,0.00130216,0.00585451,0.000691601,0.00488358,1
66,MV-C1-002,0.00114806,0.00585451,0.00154476,0.00495097,1
67,MV-C1-002,0.00114806,0.00585451,0.000982299,0.00495097,1
68,MV-C1-002,0.000982649,0.00512746,0.000789779,0.00591423,1
69,MV-C1-002,0.000982649,0.00512451,0.000977084,0.00691208,1
70,MV-C1-002,0.00137887,0.00536079,0.00133127,0.00364031,1
71,MV-C1-002,0.00114675,0.00502161,0.000860332,0.00646355,1
72,MV-C1-002,0.00140619,0.0052209,0.000788994,0.00518997,1
73,MV-C1-002,0.00140619,0.00619895,0.00162484,0.00333673,1
74,MV-C1-002,0.0010784,0.00365308,0.00136397,0.00603619,1
75,MV-C1-002,0.00106189,0.00523274,0.00129855,0.00605546,1
76,MV-C1-002,0.000820849,0.00525076,0.00113734,0.0051447,1
77,MV-C1-002,0.00142251,0.00704347,0.000817896,0.00500539,1
78,MV-C1-002,0.00179154,0.00611143,0.000986831,0.003943,1
79,MV-C1-002,0.0011645,0.00609499,0.000766605,0.00571092,1
80,MV-C1-002,0.000781376,0.00512996,0.00100237,0.00862538,1
81,MV-C1-002,0.000759784,0.00572212,0.00129078,0.00355184,1
82,MV-C1-002,0.000916065,0.00404353,0.00127845,0.00673578,1
83,MV-C1-002,0.00111598,0.00505785,0.00104437,0.00279909,1
84,MV-C1-002,0.00104184,0.00258186,0.0012349,0.00292069,1
85,MV-C1-002,0.000912324,0.00400587,0.000653025,0.00830176,1
86,MV-C1-002,0.000932821,0.00503544,0.000989131,0.00750875,1
87,MV-C1-002,0.000932821,0.00503544,0.000935432,0.00750875,1
88,MV-C1-002,0.000932821,0.0061442,0.000945155,0.00750875,1
89,MV-C1-002,0.00121728,0.00503898,0.000943976,0.00343779,1
90,MV-C1-002,0.00138951,0.00608435,0.000742949,0.00371658,1
91,MV-C1-002,0.000949915,0.0039462,0.00109442,0.00460929,1
92,MV-C1-002,0.00108961,0.00486689,0.00114556,0.0183596,1
93,MV-C1-002,0.000738043,0.00486689,0.00114556,0.00742575,1
94,MV-C1-002,0.000916192,0.00449138,0.00112938,0.0193538,1
95,MV-C1-002,0.000916192,0.00536861,0.00104485,0.0229679,1
96,MV-C1-002,0.00122861,0.00749873,0.00100283,0.0244816,1
97,MV-C1-002,0.00122861,0.00531226,0.00118166,0.0117988,1
98,MV-C1-002,0.000919938,0.00543021,0.000941975,0.0152787,1
99,MV-C1-002,0.000919938,0.0047698,0.000941975,0.0152787,1
100,MV-C1-002,0.000919938,0.00595156,0.000747006,0.0100485,1
101,MV-C1-002,0.00115899,0.00508418,0.00148136,0.00495825,1
102,MV-C1-002,0.00126769,0.00365208,0.00156043,0.00679617,1
103,MV-C1-002,0.00168329,0.00689947,0.00150488,0.00317893,1
104,MV-C1-002,0.0015254,0.00785223,0.00125421,0.00178206,1
105,MV-C1-002,0.00128644,0.00752464,0.00109965,0.00450865,1
106,MV-C1-002,0.00128644,0.00537545,0.000740278,0.00920472,1
107,MV-C1-002,0.00136342,0.00439423,0.00100114,0.00232991,1
108,MV-C1-002,0.000833017,0.00439423,0.00100114,0.0172917,1
109,MV-C1-002,0.00123574,0.00353967,0.00128943,0.0108358,1
110,MV-C1-002,0.00149658,0.00356963,0.0017601,0.021669,1
111,MV-C1-002,0.0010529,0.00868029,0.00134093,0.0117552,1
112,MV-C1-002,0.000921531,0.00568855,0.00099213,0.00260199,1
113,MV-C1-002,0.00165567,0.00613939,0.000674718,0.00505672,1
114,MV-C1-002,0.00159528,0.00719486,0.00122582,0.00635732,1
115,MV-C1-002,0.00137876,0.00449092,0.00130524,0.00311432,1
116,MV-C1-002,0.00138177,0.00458674,0.000920993,0.0034958,1
117,MV-C1-002,0.00123257,0.0050006,0.000739253,0.00487157,1
118,MV-C1-002,0.00123257,0.0050006,0.00080986,0.00396904,1
119,MV-C1-002,0.00140324,0.00454035,0.000747635,0.00323888,1
120,MV-C1-002,0.00113326,0.00448789,0.00157289,0.00323888,1
121,MV-C1-002,0.00142332,0.00638507,0.00151425,0.00530083,1
122,MV-C1-002,0.00145166,0.00674476,0.000888304,0.00358712,1
123,MV-C1-002,0.00118339,0.00674476,0.000842636,0.00838493,1
124,MV-C1-002,0.0016973,0.00675176,0.000842636,0.0036773,1
125,MV-C1-002,0.00122387,0.00605553,0.000868607,0.00393883,1
126,MV-C1-002,0.00137156,0.00582096,0.000824037,0.00342746,1
127,MV-C1-002,0.000914845,0.00574132,0.00109048,0.00743237,1
128,MV-C1-002,0.000847739,0.00568613,0.000643859,0.0332176,1
129,MV-C1-002,0.000813443,0.00365767,0.00130972,0.0467656,1
130,MV-C1-002,0.000813443,0.00556884,0.00130972,0.00737617,1
131,MV-C1-002,0.00102618,0.00549231,0.000887806,0.0148968,1
132,MV-C1-002,0.00102618,0.00549231,0.000887806,0.0228645,1
133,MV-C1-002,0.000957622,0.00574569,0.000935623,0.00315612,1
134,MV-C1-002,0.00106211,0.00555926,0.00107503,0.0137039,1
135,MV-C1-002,0.00113731,0.00690848,0.00141133,0.00956129,1
136,MV-C1-002,0.00113731,0.0051086,0.00141133,0.00458832,1
137,MV-C1-002,0.00131595,0.00447491,0.00225956,0.00201902,1
138,MV-C1-002,0.00129228,0.00620564,0.00135964,0.0119183,1
139,MV-C1-002,0.0010243,0.0038137,0.00103004,0.00820503,1
140,MV-C1-002,0.00105488,0.00389345,0.00132894,0.00278868,1
141,MV-C1-002,0.00105488,0.0075935,0.00123288,0.0041076,1
142,MV-C1-002,0.0013416,0.0075935,0.00107458,0.00243695,1
143,MV-C1-002,0.00135939,0.0052292,0.000940882,0.0045847,1
144,MV-C1-002,0.00135939,0.0052292,0.00122913,0.0045847,1
145,MV-C1-002,0.000994859,0.00566456,0.00122913,0.0045847,1
146,MV-C1-002,0.00118792,0.0053917,0.00120962,0.00271417,1
147,MV-C1-002,0.00127354,0.0053917,0.00170388,0.00271417,1
148,MV-C1-002,0.000809392,0.00459993,0.000667189,0.00725798,1
149,MV-C1-002,0.000912514,0.00393355,0.00149092,0.00358262,1
150,MV-C1-002,0.00108144,0.00393355,0.000810037,0.00927504,1
151,MV-C1-002,0.00079036,0.00381919,0.000988203,0.00425048,1
152,MV-C1-002,0.00079036,0.00365831,0.00107209,0.00815861,1
153,MV-C1-002,0.000782988,0.00486264,0.000584866,0.0170057,1
154,MV-C1-002,0.00111841,0.00578768,0.0013464,0.00703844,1
155,MV-C1-002,0.0015519,0.00500681,0.00126328,0.00459208,1
156,MV-C1-002,0.0015519,0.00500681,0.00126328,0.00427219,1
157,MV-C1-002,0.000972967,0.00543531,0.000750194,0.00934995,1
158,MV-C1-002,0.00146866,0.00483335,0.00134809,0.0025717,1
159,MV-C1-002,0.00145929,0.00615593,0.00134809,0.0025717,1
160,MV-C1-002,0.000938168,0.0051944,0.00140238,0.0025717,1
161,MV-C1-002,0.000969505,0.00403478,0.00106236,0.00624369,1
162,MV-C1-002,0.00100305,0.00392394,0.00106059,0.00708298,1
163,MV-C1-002,0.00111733,0.00580629,0.000677702,0.00276017,1
164,MV-C1-002,0.000976451,0.00540542,0.00123045,0.0045474,1
165,MV-C1-002,0.000976451,0.0055689,0.00156699,0.00297803,1
166,MV-C1-002,0.000976451,0.0055689,0.00115856,0.00429756,1
167,MV-C1-002,0.00108078,0.0060035,0.00138156,0.0074815,1
168,MV-C1-002,0.00108078,0.0060035,0.000962184,0.00441395,1
169,MV-C1-002,0.00108078,0.00443844,0.00104694,0.00855676,1
170,MV-C1-002,0.000871094,0.00588649,0.00108973,0.0316127,1
171,MV-C1-002,0.00117796,0.00592339,0.000934132,0.0274714,1
172,MV-C1-002,0.00117796,0.00613904,0.000956755,0.00221546,1
173,MV-C1-002,0.00108601,0.00625359,0.00128713,0.00354237,1
174,MV-C1-002,0.00134842,0.00740248,0.00106022,0.00310762,1
175,MV-C1-002,0.00108295,0.0046054,0.000778153,0.00948821,1
176,MV-C1-002,0.000962103,0.00460841,0.00089337,0.00852376,1
177,MV-C1-002,0.00163771,0.00421475,0.00110089,0.00434405,1
178,MV-C1-002,0.00126296,0.00467432,0.00110089,0.00740369,1
179,MV-C1-002,0.00106273,0.00408636,0.0011144,0.0027657,1
180,MV-C1-002,0.000943391,0.00394028,0.0010748,0.00356982,1
181,MV-C1-002,0.000943391,0.00524868,0.0010748,0.00624454,1
182,MV-C1-002,0.00139064,0.00610491,0.000903288,0.0138387,1
183,MV-C1-002,0.00148323,0.00532159,0.00102836,0.00700732,1
184,MV-C1-002,0.00133578,0.00632536,0.00140553,0.00516557,1
185,MV-C1-002,0.00159646,0.00603236,0.00127176,0.00422714,1
186,MV-C1-002,0.00154646,0.00488521,0.00132712,0.00863894,1
187,MV-C1-002,0.00154646,0.00586866,0.0010336,0.00686749,1
188,MV-C1-002,0.00122238,0.00612466,0.000879085,0.00838895,1
189,MV-C1-002,0.000892127,0.00568265,0.000732568,0.00547937,1
190,MV-C1-002,0.00121715,0.0047735,0.00109538,0.00402035,1
191,MV-C1-002,0.00126679,0.00352082,0.00102856,0.00465616,1
192,MV-C1-002,0.00126636,0.00377202,0.0015112,0.00334085,1
193,MV-C1-002,0.00120562,0.00431754,0.00143465,0.00957432,1
194,MV-C1-002,0.00120562,0.0059828,0.000768855,0.0120445,1
195,MV-C1-002,0.00125505,0.00363216,0.000944074,0.00436719,1
196,MV-C1-002,0.00111013,0.00502283,0.00103541,0.00650196,1
197,MV-C1-002,0.00111013,0.00526044,0.0011394,0.0029252,1
198,MV-C1-002,0.00111013,0.00526044,0.0011394,0.0029252,1
199,MV-C1-002,0.000961916,0.00454359,0.00125254,0.00270609,1
200,MV-C1-002,0.000804706,0.00521611,0.00150974,0.0167002,1
1,MV-C1-003,0.000514053,0.00387028,0.00151746,0.00793013,1
2,MV-C1-003,0.000504768,0.00517897,0.00125775,0.0137559,1
3,MV-C1-003,0.000504768,0.00517897,0.00128733,0.0156913,1
4,MV-C1-003,0.000293812,0.008603,0.000863592,0.028422,1
5,MV-C1-003,0.000607867,0.0040934,0.000903733,0.0271607,1
6,MV-C1-003,0.000542845,0.00529778,0.00113613,0.0163039,1
7,MV-C1-003,0.000698677,0.00581247,0.000939664,0.0105668,1
8,MV-C1-003,0.000689348,0.00514743,0.00114119,0.0105668,1
9,MV-C1-003,0.000501812,0.00500575,0.000900313,0.0103396,1
10,MV-C1-003,0.00053245,0.00695658,0.000597401,0.0156231,1
11,MV-C1-003,0.000470843,0.00628636,0.000780471,0.0122177,1
12,MV-C1-003,0.000992864,0.00635671,0.00124293,0.0167471,1
13,MV-C1-003,0.000341583,0.00410488,0.00078236,0.0100874,1
14,MV-C1-003,0.000442288,0.00535993,0.000899251,0.0123177,1
15,MV-C1-003,0.000442288,0.00519349,0.000899251,0.015652,1
16,MV-C1-003,0.000658205,0.00641497,0.000995296,0.015652,1
17,MV-C1-003,0.000726501,0.0068256,0.000980193,0.0148262,1
18,MV-C1-003,0.000711362,0.00985681,0.00155326,0.017699,1
19,MV-C1-003,0.000503678,0.00682555,0.00190972,0.0156114,1
20,MV-C1-003,0.00059506,0.00682555,0.000821088,0.0458095,1
21,MV-C1-003,0.000684404,0.0045462,0.000893146,0.0199673,1
22,MV-C1-003,0.000584884,0.0049343,0.000593605,0.013025,1
23,MV-C1-003,0.000342845,0.00501922,0.00094941,0.013025,1
24,MV-C1-003,0.000342845,0.00501922,0.00094941,0.0312067,1
25,MV-C1-003,0.000635633,0.00727982,0.000575682,0.0088509,1
26,MV-C1-003,0.000648196,0.00438349,0.000730347,0.00894636,1
27,MV-C1-003,0.000629772,0.00438349,0.000730347,0.00775304,1
28,MV-C1-003,0.000529102,0.0046857,0.00145818,0.0086377,1
29,MV-C1-003,0.00044959,0.00564924,0.000879597,0.0167945,1
30,MV-C1-003,0.000483465,0.00570079,0.00113092,0.0130847,1
31,MV-C1-003,0.00104257,0.00586016,0.00150683,0.0208963,1
32,MV-C1-003,0.000847149,0.00704461,0.000853084,0.0183716,1
33,MV-C1-003,0.000420955,0.00554123,0.000813724,0.0101459,1
34,MV-C1-003,0.000404698,0.00590653,0.000866948,0.011719,1
35,MV-C1-003,0.000380897,0.00565194,0.00142424,0.011719,1
36,MV-C1-003,0.000796378,0.004994,0.00084987,0.0109939,1
37,MV-C1-003,0.000796378,0.00572549,0.00084987,0.0114779,1
38,MV-C1-003,0.00050174,0.00461398,0.00135957,0.0135131,1
39,MV-C1-003,0.00050174,0.00461398,0.00135957,0.00998178,1
40,MV-C1-003,0.000477639,0.00564991,0.000799871,0.00607344,1
41,MV-C1-003,0.00031573,0.00431134,0.000981796,0.0269917,1
42,MV-C1-003,0.000455235,0.00459687,0.000965657,0.0124916,1
43,MV-C1-003,0.000738014,0.00567294,0.000803325,0.0108608,1
44,MV-C1-003,0.000586607,0.00728077,0.00064764,0.011166,1
45,MV-C1-003,0.000586607,0.00684331,0.00134208,0.011166,1
46,MV-C1-003,0.00056204,0.00579629,0.00189113,0.0134029,1
47,MV-C1-003,0.000271883,0.00587194,0.00114391,0.0289239,1
48,MV-C1-003,0.000695801,0.00486959,0.000896984,0.00991705,1
49,MV-C1-003,0.000524651,0.00582062,0.000652847,0.00972721,1
50,MV-C1-003,0.000574736,0.00711251,0.000884075,0.0217626,1
51,MV-C1-003,0.000399828,0.0085392,0.000710676,0.0198817,1
52,MV-C1-003,0.000436203,0.00476315,0.000776551,0.0223521,1
53,MV-C1-003,0.000513953,0.00430257,0.000843137,0.0118032,1
54,MV-C1-003,0.00061646,0.00651284,0.00094596,0.0145645,1
55,MV-C1-003,0.000372677,0.00538737,0.00125003,0.0249255,1
56,MV-C1-003,0.000583385,0.00674964,0.00159581,0.0133523,1
57,MV-C1-003,0.000636921,0.00678254,0.00131699,0.0154039,1
58,MV-C1-003,0.000596529,0.00407805,0.0011997,0.00931729,1
59,MV-C1-003,0.000484987,0.0053865,0.00121382,0.0264205,1
60,MV-C1-003,0.000501567,0.00609858,0.000862932,0.0117887,1
61,MV-C1-003,0.000451106,0.00678666,0.000730578,0.0173129,1
62,MV-C1-003,0.000541162,0.00653538,0.000821745,0.0159226,1
63,MV-C1-003,0.000541162,0.00653538,0.000677235,0.0159226,1
64,MV-C1-003,0.0006236,0.00409155,0.00087339,0.0126386,1
65,MV-C1-003,0.000815367,0.00689524,0.00121355,0.0124625,1
66,MV-C1-003,0.000815367,0.00799545,0.00121355,0.0124625,1
67,MV-C1-003,0.000485306,0.00654404,0.00121355,0.0124625,1
68,MV-C1-003,0.000485306,0.00654404,0.00121355,0.0124625,1
69,MV-C1-003,0.000394138,0.00607434,0.000803231,0.0107477,1
70,MV-C1-003,0.000586219,0.00688278,0.00125393,0.00744923,1
71,MV-C1-003,0.000551006,0.00636557,0.000750437,0.00992711,1
72,MV-C1-003,0.000551006,0.00636557,0.000750437,0.016652,1
73,MV-C1-003,0.000294646,0.00585648,0.000778882,0.0111826,1
74,MV-C1-003,0.00030349,0.00404212,0.000847726,0.0119959,1
