parameter,value,CV
alpha_pop,151.104759341941,
gamma_pop,0.873636826119468,
alpha1_pop,7.96247950741195,
gamma1_pop,0.166272315098163,
beta_pop,0.00915041104567282,
beta1_pop,0.00378641360332401,
A0_pop,1.2819425161565,
omega_alpha,1.2965762846614,209.08169163439
omega_gamma,0.356129446426471,36.7725373279725
omega_alpha1,0.867739628963363,105.985906356981
omega_gamma1,0.356358915928339,36.7977672830021
omega_beta,1.01855192648229,134.981707414462
omega_beta1,0.00948108036490693,0.948129343456904
omega_A0,0.423215103344207,44.2892242183204
corr_beta_alpha,0.818463418826111,
b,0.45606702571697,
